Date,Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload
12/Aug/2024,PVR Inox Ltd.,PVRINOX,407.00,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1475.10,-1.74,4448510.00,0.87,0.81,0.78,2511597.00,1381765.00,0.55,-0.06,NewShort,"PVRINOX,"
12/Aug/2024,Dr. Lal Pathlabs Ltd.,LALPATHLAB,300.00,Healthcare,Hospital & Healthcare Services,Small Cap,3227.10,0.48,1206600.00,-0.86,0.65,1.18,635700.00,537300.00,0.85,0.04,ShortCover,"LALPATHLAB,"
12/Aug/2024,ACC Ltd.,ACC,300.00,Construction Materials,Cement & Construction Materials,Mid Cap,2313.60,-1.61,5010000.00,0.84,1.62,1.77,4241700.00,2259900.00,0.53,0.06,AggressiveNewShort,"ACC,"
12/Aug/2024,Mahindra & Mahindra Financial Services Ltd.,M&MFIN,2000.00,Finance,Finance - NBFC,Mid Cap,298.75,-0.45,42508000.00,0.83,1.32,1.81,14024000.00,7362000.00,0.52,-0.02,AggressiveNewShort,"M&MFIN,"
12/Aug/2024,Info Edge (India) Ltd.,NAUKRI,150.00,Information Technology,BPO/ITeS,Mid Cap,7178.70,-0.50,1312050.00,0.83,0.85,0.65,640350.00,412050.00,0.64,0.02,NewShort,"NAUKRI,"
12/Aug/2024,Bharat Heavy Electricals Ltd.,BHEL,2625.00,Capital Goods,Engineering - Industrial Equipments,Large Cap,298.70,-1.16,78309000.00,0.82,0.68,0.71,56734125.00,33967500.00,0.60,-0.02,NewShort,"BHEL,"
12/Aug/2024,ITC Ltd.,ITC,1600.00,Fast Moving Consumer Goods,Cigarettes/Tobacco,Large Cap,494.60,-0.26,110344000.00,-0.81,0.58,0.53,71678400.00,29374400.00,0.41,-0.01,LongCover,"ITC,"
12/Aug/2024,Vedanta Ltd.,VEDL,2300.00,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,432.10,0.76,159413000.00,0.81,0.57,0.81,56908900.00,36165200.00,0.64,0.02,NewLong,"VEDL,"
12/Aug/2024,Indus Towers Ltd.,INDUSTOWER,3400.00,Telecom,Telecommunication - Service  Provider,Mid Cap,415.90,0.23,86672800.00,-0.79,0.39,0.34,34564400.00,28597400.00,0.83,0.00,ShortCover,"INDUSTOWER,"
12/Aug/2024,Lupin Ltd.,LUPIN,425.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,2097.60,-0.75,14019475.00,-0.79,0.71,1.02,5004375.00,6169300.00,1.23,-0.01,LongCover,"LUPIN,"
12/Aug/2024,Indian Oil Corporation Ltd.,IOC,4875.00,Crude Oil,Refineries,Large Cap,169.16,0.04,197993250.00,0.78,0.58,0.55,125658000.00,62863125.00,0.50,0.00,NewLong,"IOC,"
12/Aug/2024,Bajaj Finserv Ltd.,BAJAJFINSV,500.00,Finance,Finance - Investment,Large Cap,1559.00,-0.08,13245000.00,-0.77,0.69,0.66,5846500.00,3350000.00,0.57,0.00,LongCover,"BAJAJFINSV,"
12/Aug/2024,Birlasoft Ltd.,BSOFT,1000.00,Information Technology,IT - Software,Small Cap,587.30,1.66,12490000.00,-0.76,0.46,0.39,10054000.00,5201000.00,0.52,0.01,ShortCover,"BSOFT,"
12/Aug/2024,Grasim Industries Ltd.,GRASIM,250.00,Construction Materials,Cement & Construction Materials,Large Cap,2571.10,-0.06,8692750.00,0.75,1.45,1.56,4134250.00,2271000.00,0.55,-0.08,AggressiveNewShort,"GRASIM,"
12/Aug/2024,Petronet LNG Ltd.,PETRONET,3000.00,Industrials Gases & Fuels,Industrial  Gases & Fuels,Mid Cap,373.70,1.91,25953000.00,0.73,0.86,0.77,13119000.00,13461000.00,1.03,-0.01,NewLong,"PETRONET,"
12/Aug/2024,Tata Communications Ltd.,TATACOMM,500.00,Telecom,Telecommunication - Service  Provider,Mid Cap,1886.75,-0.04,6800000.00,-0.73,1.02,1.39,2007500.00,1059500.00,0.53,-0.01,AggressiveLongCover,"TATACOMM,"
12/Aug/2024,Bajaj Auto Ltd.,BAJAJ-AUTO,75.00,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,9710.85,-0.56,1342725.00,-0.71,1.14,1.38,839475.00,615675.00,0.73,-0.05,AggressiveLongCover,"BAJAJ-AUTO,"
12/Aug/2024,HCL Technologies Ltd.,HCLTECH,350.00,Information Technology,IT - Software,Large Cap,1585.25,-0.30,12855500.00,-0.68,0.54,0.55,4120900.00,2658250.00,0.65,-0.01,LongCover,"HCLTECH,"
12/Aug/2024,Bosch Ltd.,BOSCHLTD,25.00,Automobile & Ancillaries,Auto Ancillary,Large Cap,31598.00,-1.31,333225.00,0.66,0.89,0.83,98000.00,44475.00,0.45,-0.07,NewShort,"BOSCHLTD,"
12/Aug/2024,RBL Bank Ltd.,RBLBANK,2500.00,Banking,Bank - Private,Small Cap,216.18,-0.31,71115000.00,-0.66,0.59,0.49,18187500.00,15010000.00,0.83,0.01,LongCover,"RBLBANK,"
12/Aug/2024,Tata Steel Ltd.,TATASTEEL,5500.00,Iron & Steel,Steel & Iron Products,Large Cap,152.06,0.16,288882000.00,-0.65,0.58,0.49,274098000.00,129475500.00,0.47,0.01,ShortCover,"TATASTEEL,"
12/Aug/2024,Bajaj Finance Ltd.,BAJFINANCE,125.00,Finance,Finance - NBFC,Large Cap,6608.15,-0.15,9941500.00,-0.63,0.91,1.05,4435875.00,3170750.00,0.71,-0.02,LongCover,"BAJFINANCE,"
12/Aug/2024,Hindalco Industries Ltd.,HINDALCO,1400.00,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,629.35,1.04,42582400.00,0.62,0.52,0.34,23501800.00,15706600.00,0.67,-0.01,NewLong,"HINDALCO,"
12/Aug/2024,United Breweries Ltd.,UBL,400.00,Alcohol,Breweries & Distilleries,Mid Cap,1922.10,-1.20,2406000.00,0.62,0.52,0.36,1862800.00,1070000.00,0.57,0.02,NewShort,"UBL,"
12/Aug/2024,UPL Ltd.,UPL,1300.00,Chemicals,Pesticides & Agrochemicals,Mid Cap,565.10,1.89,36208900.00,-0.59,0.82,0.85,14202500.00,10219300.00,0.72,0.02,ShortCover,"UPL,"
12/Aug/2024,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.00,Chemicals,Fertilizers,Small Cap,669.70,0.39,7554300.00,-0.55,0.95,1.02,3627000.00,2511600.00,0.69,0.01,ShortCover,"GNFC,"
12/Aug/2024,JK Cement Ltd.,JKCEMENT,125.00,Construction Materials,Cement & Construction Materials,Mid Cap,4236.75,-0.08,800875.00,0.55,0.26,0.14,219875.00,93750.00,0.43,-0.02,NewShort,"JKCEMENT,"
12/Aug/2024,The Indian Hotels Company Ltd.,INDHOTEL,1000.00,Hospitality,"Hotel, Resort & Restaurants",Mid Cap,617.15,-0.21,19859000.00,-0.54,1.01,0.58,6664000.00,4728000.00,0.71,0.03,LongCover,"INDHOTEL,"
12/Aug/2024,The India Cements Ltd.,INDIACEM,2900.00,Construction Materials,Cement & Construction Materials,Small Cap,367.25,0.07,21825400.00,-0.53,0.39,0.44,21639800.00,18591900.00,0.86,0.01,ShortCover,"INDIACEM,"
12/Aug/2024,Bharat Petroleum Corporation Ltd.,BPCL,1800.00,Crude Oil,Refineries,Large Cap,333.40,0.00,66139200.00,0.51,0.78,0.99,32859000.00,18163800.00,0.55,-0.02,Neutral,"BPCL,"
12/Aug/2024,Tata Chemicals Ltd.,TATACHEM,550.00,Chemicals,Chemicals,Small Cap,1048.35,0.64,9403350.00,-0.50,0.56,0.58,6327750.00,4160200.00,0.66,-0.01,ShortCover,"TATACHEM,"
12/Aug/2024,Samvardhana Motherson International Ltd.,MOTHERSON,7100.00,Automobile & Ancillaries,Auto Ancillary,Large Cap,188.21,0.25,139699600.00,-0.47,0.27,0.25,53775400.00,46966500.00,0.87,-0.01,ShortCover,"MOTHERSON,"
12/Aug/2024,Gujarat Gas Ltd.,GUJGASLTD,1250.00,Gas Transmission,Gas Transmission/Marketing,Mid Cap,618.90,1.34,10862500.00,-0.46,0.72,0.98,6560000.00,3283750.00,0.50,-0.03,ShortCover,"GUJGASLTD,"
12/Aug/2024,TVS Motor Company Ltd.,TVSMOTOR,350.00,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,2578.00,-0.13,5316500.00,-0.45,0.54,0.55,2123100.00,1832950.00,0.86,-0.04,LongCover,"TVSMOTOR,"
12/Aug/2024,The Ramco Cements Ltd.,RAMCOCEM,850.00,Construction Materials,Cement & Construction Materials,Small Cap,801.25,0.19,9324500.00,-0.41,0.49,0.48,4165000.00,2527050.00,0.61,0.01,ShortCover,"RAMCOCEM,"
12/Aug/2024,City Union Bank Ltd.,CUB,5000.00,Banking,Bank - Private,Small Cap,164.83,0.95,30685000.00,0.38,0.54,0.61,21405000.00,10890000.00,0.51,0.04,NewLong,"CUB,"
12/Aug/2024,Bharti Airtel Ltd.,BHARTIARTL,475.00,Telecom,Telecommunication - Service  Provider,Large Cap,1458.60,-0.38,40369775.00,0.37,0.70,0.71,15328725.00,8377575.00,0.55,-0.05,NewShort,"BHARTIARTL,"
12/Aug/2024,Vodafone Idea Ltd.,IDEA,40000.00,Telecom,Telecommunication - Service  Provider,Mid Cap,16.01,-0.56,4764200000.00,0.37,0.79,0.75,996400000.00,610640000.00,0.61,-0.01,NewShort,"IDEA,"
12/Aug/2024,Divi's Laboratories Ltd.,DIVISLAB,200.00,Healthcare,Pharmaceuticals & Drugs,Large Cap,4891.00,1.26,2891400.00,0.36,0.64,0.69,1623600.00,1112400.00,0.69,0.01,NewLong,"DIVISLAB,"
12/Aug/2024,Bharat Electronics Ltd.,BEL,2850.00,Capital Goods,Engineering - Industrial Equipments,Large Cap,301.40,-0.26,157089150.00,-0.34,0.51,0.60,108294300.00,52588200.00,0.49,0.01,LongCover,"BEL,"
12/Aug/2024,Abbott India Ltd.,ABBOTINDIA,20.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,26980.65,-0.91,156460.00,-0.32,0.71,1.19,91020.00,28600.00,0.31,-0.06,LongCover,"ABBOTINDIA,"
12/Aug/2024,Container Corporation Of India Ltd.,CONCOR,1000.00,Logistics,Logistics,Mid Cap,980.10,-0.07,23764000.00,-0.32,1.30,1.33,14025000.00,6972000.00,0.50,-0.05,AggressiveLongCover,"CONCOR,"
12/Aug/2024,Maruti Suzuki India Ltd.,MARUTI,50.00,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12273.25,0.40,3118250.00,-0.30,0.51,0.48,5618850.00,1954600.00,0.35,0.01,ShortCover,"MARUTI,"
12/Aug/2024,Havells India Ltd.,HAVELLS,500.00,Capital Goods,Electric Equipment,Large Cap,1810.05,0.59,8159000.00,-0.29,0.86,0.82,1945500.00,1293500.00,0.66,-0.02,ShortCover,"HAVELLS,"
12/Aug/2024,LTIMindtree Ltd.,LTIM,150.00,Information Technology,IT - Software,Large Cap,5400.45,0.50,3255750.00,-0.28,0.46,0.34,1335750.00,715200.00,0.54,0.06,ShortCover,"LTIM,"
12/Aug/2024,Multi Commodity Exchange Of India Ltd.,MCX,200.00,Finance,Finance - Stock Broking,Small Cap,4427.70,1.14,2423600.00,0.24,0.84,0.77,1363200.00,1345600.00,0.99,-0.01,NewLong,"MCX,"
12/Aug/2024,DLF Ltd.,DLF,825.00,Realty,Construction - Real Estate,Large Cap,835.45,0.55,38353425.00,-0.21,0.50,0.53,16405125.00,12301575.00,0.75,0.03,ShortCover,"DLF,"
12/Aug/2024,Power Finance Corporation Ltd.,PFC,1300.00,Finance,Finance Term Lending,Large Cap,496.65,-0.80,51949300.00,-0.20,0.29,0.28,36328500.00,22123400.00,0.61,0.02,LongCover,"PFC,"
12/Aug/2024,Oracle Financial Services Software Ltd.,OFSS,100.00,Information Technology,IT - Software,Mid Cap,10734.55,1.61,1780300.00,0.19,1.30,2.16,913900.00,537100.00,0.59,0.06,AggressiveNewLong,"OFSS,"
12/Aug/2024,Aurobindo Pharma Ltd.,AUROPHARMA,550.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1461.80,0.83,12055450.00,0.18,1.30,0.94,4150850.00,3138300.00,0.76,0.01,NewLong,"AUROPHARMA,"
12/Aug/2024,Ipca Laboratories Ltd.,IPCALAB,650.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1381.95,1.19,2481700.00,0.18,0.63,0.64,1094600.00,885950.00,0.81,-0.02,NewLong,"IPCALAB,"
12/Aug/2024,Ashok Leyland Ltd.,ASHOKLEY,5000.00,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Mid Cap,252.05,-0.41,56410000.00,-0.14,0.86,0.67,53170000.00,40675000.00,0.76,-0.01,LongCover,"ASHOKLEY,"
12/Aug/2024,Tata Consultancy Services Ltd.,TCS,175.00,Information Technology,IT - Software,Large Cap,4195.65,-0.78,13645625.00,-0.14,0.47,0.45,6339375.00,4041275.00,0.64,-0.03,LongCover,"TCS,"
12/Aug/2024,Escorts Kubota Ltd.,ESCORTS,275.00,Automobile & Ancillaries,Automobiles-Tractors,Mid Cap,3714.35,0.72,2087525.00,0.13,0.49,0.41,1574100.00,716925.00,0.46,0.03,NewLong,"ESCORTS,"
12/Aug/2024,IDFC First Bank Ltd.,IDFCFIRSTB,7500.00,Banking,Bank - Private,Mid Cap,71.79,-1.47,512917500.00,0.13,1.64,2.01,200580000.00,114885000.00,0.57,-0.01,AggressiveNewShort,"IDFCFIRSTB,"
12/Aug/2024,SBI Life Insurance Company Ltd.,SBILIFE,375.00,Finance,Insurance,Large Cap,1705.00,-1.17,6621000.00,-0.12,0.94,1.04,2493750.00,1346625.00,0.54,0.01,LongCover,"SBILIFE,"
12/Aug/2024,Piramal Enterprises Ltd.,PEL,750.00,Finance,Finance - NBFC,Small Cap,989.00,2.06,11383500.00,-0.11,1.26,0.87,5362500.00,4307250.00,0.80,0.06,ShortCover,"PEL,"
12/Aug/2024,Dabur India Ltd.,DABUR,1250.00,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,620.35,-0.58,16895000.00,-0.10,0.45,0.44,10912500.00,4722500.00,0.43,0.00,LongCover,"DABUR,"
12/Aug/2024,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,1500.00,Finance,Insurance,Mid Cap,728.75,-1.42,10273500.00,-0.10,0.83,0.95,4899000.00,4330500.00,0.88,-0.05,LongCover,"ICICIPRULI,"
12/Aug/2024,Berger Paints India Ltd.,BERGEPAINT,1320.00,Chemicals,Paints,Mid Cap,526.05,-1.05,16793040.00,-0.09,1.79,1.93,6061440.00,3293400.00,0.54,-0.09,AggressiveLongCover,"BERGEPAINT,"
12/Aug/2024,Indian Energy Exchange Ltd.,IEX,3750.00,Power,Power Generation/Distribution,Small Cap,194.44,0.92,75067500.00,-0.07,0.50,0.50,48435000.00,30577500.00,0.63,0.00,ShortCover,"IEX,"
12/Aug/2024,Atul Ltd.,ATUL,100.00,Chemicals,Chemicals,Small Cap,7861.05,-1.58,817900.00,-0.06,0.73,0.50,186100.00,106500.00,0.57,-0.03,LongCover,"ATUL,"
12/Aug/2024,ICICI Lombard General Insurance Company Ltd.,ICICIGI,500.00,Finance,Insurance,Mid Cap,1951.45,-0.74,4176000.00,0.06,0.90,1.06,966500.00,646000.00,0.67,-0.02,NewShort,"ICICIGI,"
12/Aug/2024,Larsen & Toubro Ltd.,LT,150.00,Infrastructure,Engineering - Construction,Large Cap,3571.95,-0.56,16981950.00,-0.05,1.03,1.19,7235100.00,3854850.00,0.53,-0.02,AggressiveLongCover,"LT,"
12/Aug/2024,SRF Ltd.,SRF,375.00,Chemicals,Chemicals,Mid Cap,2568.50,0.58,5170500.00,0.04,0.42,0.29,2258250.00,1196625.00,0.53,0.04,NewLong,"SRF,"
12/Aug/2024,Bank Of Baroda,BANKBARODA,2925.00,Banking,Bank - Public,Large Cap,244.85,-0.41,187530525.00,0.03,0.58,0.51,69606225.00,43834050.00,0.63,0.01,NewShort,"BANKBARODA,"
12/Aug/2024,Mphasis Ltd.,MPHASIS,275.00,Information Technology,IT - Software,Mid Cap,2702.90,-0.65,4450325.00,-0.03,0.62,0.41,3178725.00,1666500.00,0.52,0.02,LongCover,"MPHASIS,"
