14/Aug/2024,PVR Inox Ltd.,PVRINOX,407.00,Media & Entertainment,"Film Production, Distribution & Entertainment",Small Cap,1432.90,-1.40,4715909.00,4.64,0.84,0.86,3122504.00,1497760.00,0.48,-0.04,NewShort,"PVRINOX,"
14/Aug/2024,AU Small Finance Bank Ltd.,AUBANK,1000.00,Banking,Bank - Private,Mid Cap,603.05,-1.45,26349000.00,4.42,0.69,0.73,10365000.00,5148000.00,0.50,-0.01,NewShort,"AUBANK,"
14/Aug/2024,Mahanagar Gas Ltd.,MGL,400.00,Gas Transmission,Gas Transmission/Marketing,Small Cap,1730.10,-3.38,2090400.00,-4.30,1.39,1.35,1754400.00,1065200.00,0.61,-0.02,AggressiveLongCover,"MGL,"
14/Aug/2024,ICICI Bank Ltd.,ICICIBANK,700.00,Banking,Bank - Private,Large Cap,1161.65,-0.57,101506300.00,4.20,1.13,1.19,37642500.00,15274000.00,0.41,-0.01,AggressiveNewShort,"ICICIBANK,"
14/Aug/2024,Jubilant FoodWorks Ltd.,JUBLFOOD,1250.00,Fast Moving Consumer Goods,Consumer Food,Mid Cap,637.45,-1.05,21356250.00,-4.15,0.28,0.49,9463750.00,9611250.00,1.02,-0.14,LongCover,"JUBLFOOD,"
14/Aug/2024,Samvardhana Motherson International Ltd.,MOTHERSON,7100.00,Automobile & Ancillaries,Auto Ancillary,Large Cap,184.57,2.14,133941500.00,-3.89,1.87,1.39,69395400.00,50637200.00,0.73,-0.03,AggressiveShortCover,"MOTHERSON,"
14/Aug/2024,Voltas Ltd.,VOLTAS,600.00,Consumer Durables,Air Conditioners,Mid Cap,1550.30,-1.47,10072200.00,-3.89,0.35,0.55,5375400.00,4787400.00,0.89,-0.13,LongCover,"VOLTAS,"
14/Aug/2024,Tata Consultancy Services Ltd.,TCS,175.00,Information Technology,IT - Software,Large Cap,4295.25,2.34,13208300.00,-3.70,2.18,2.10,6239800.00,4405275.00,0.71,0.06,AggressiveShortCover,"TCS,"
14/Aug/2024,Granules India Ltd.,GRANULES,2000.00,Healthcare,Pharmaceuticals & Drugs,Small Cap,669.30,-1.06,8846000.00,-3.64,0.44,0.50,8398000.00,9034000.00,1.08,0.00,LongCover,"GRANULES,"
14/Aug/2024,Hindalco Industries Ltd.,HINDALCO,1400.00,Non - Ferrous Metals,Metal - Non Ferrous,Large Cap,621.45,0.01,45011400.00,3.61,1.78,1.41,28336000.00,17498600.00,0.62,-0.04,AggressiveNewLong,"HINDALCO,"
14/Aug/2024,Biocon Ltd.,BIOCON,2500.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,327.65,-2.80,44922500.00,-3.41,0.73,0.67,20030000.00,13380000.00,0.67,0.01,LongCover,"BIOCON,"
14/Aug/2024,Berger Paints India Ltd.,BERGEPAINT,1320.00,Chemicals,Paints,Mid Cap,547.20,2.31,15960120.00,-3.31,1.94,2.47,5513640.00,3756720.00,0.68,0.08,AggressiveShortCover,"BERGEPAINT,"
14/Aug/2024,Navin Fluorine International Ltd.,NAVINFLUOR,175.00,Chemicals,Chemicals,Small Cap,3237.60,-1.20,2184525.00,3.29,1.65,1.92,1573950.00,645750.00,0.41,0.00,AggressiveNewShort,"NAVINFLUOR,"
14/Aug/2024,NTPC Ltd.,NTPC,1500.00,Power,Power Generation/Distribution,Large Cap,396.35,0.04,84925500.00,-3.16,0.58,0.50,68292000.00,20388000.00,0.30,-0.01,ShortCover,"NTPC,"
14/Aug/2024,Multi Commodity Exchange Of India Ltd.,MCX,200.00,Finance,Finance - Stock Broking,Small Cap,4379.55,0.50,2275200.00,-3.13,0.52,0.64,1326800.00,1120000.00,0.84,-0.04,ShortCover,"MCX,"
14/Aug/2024,Coforge Ltd.,COFORGE,150.00,Information Technology,IT - Software,Mid Cap,5870.30,0.39,1994250.00,3.08,0.97,1.27,1101300.00,608250.00,0.55,-0.01,NewLong,"COFORGE,"
14/Aug/2024,Steel Authority Of India Ltd.,SAIL,4000.00,Iron & Steel,Steel & Iron Products,Mid Cap,125.23,-2.27,139264000.00,-3.07,0.64,0.62,75940000.00,37212000.00,0.49,0.01,LongCover,"SAIL,"
14/Aug/2024,Coromandel International Ltd.,COROMANDEL,700.00,Chemicals,Fertilizers,Mid Cap,1687.50,-1.71,4771900.00,-3.04,0.35,0.45,2080400.00,2270800.00,1.09,0.04,LongCover,"COROMANDEL,"
14/Aug/2024,Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.00,Agriculture,Sugar,Small Cap,502.50,-1.74,8123200.00,3.02,0.81,0.85,5078400.00,4126400.00,0.81,-0.07,NewShort,"BALRAMCHIN,"
14/Aug/2024,Siemens Ltd.,SIEMENS,150.00,Capital Goods,Electric Equipment,Large Cap,7040.05,1.02,2329500.00,-3.02,0.54,0.57,1050000.00,816000.00,0.78,-0.17,ShortCover,"SIEMENS,"
14/Aug/2024,Muthoot Finance Ltd.,MUTHOOTFIN,550.00,Finance,Finance - NBFC,Mid Cap,1816.45,-1.98,4679400.00,-2.87,3.13,2.23,2266550.00,1137950.00,0.50,-0.10,AggressiveLongCover,"MUTHOOTFIN,"
14/Aug/2024,Dr. Reddy's Laboratories Ltd.,DRREDDY,125.00,Healthcare,Pharmaceuticals & Drugs,Large Cap,6801.05,-2.12,2505750.00,2.84,1.17,1.46,1115000.00,1262000.00,1.13,-0.03,AggressiveNewShort,"DRREDDY,"
14/Aug/2024,SBI Life Insurance Company Ltd.,SBILIFE,375.00,Finance,Insurance,Large Cap,1692.10,0.58,6241875.00,-2.84,0.58,0.50,2664375.00,1313625.00,0.49,0.00,ShortCover,"SBILIFE,"
14/Aug/2024,Mahindra & Mahindra Ltd.,M&M,350.00,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,2745.25,1.00,14200550.00,-2.75,1.18,1.15,10433150.00,4222750.00,0.40,-0.02,AggressiveShortCover,"M&M,"
14/Aug/2024,Axis Bank Ltd.,AXISBANK,625.00,Banking,Bank - Private,Large Cap,1153.10,-0.56,59344375.00,2.74,0.66,0.75,29230000.00,13246875.00,0.45,-0.01,NewShort,"AXISBANK,"
14/Aug/2024,Hindustan Aeronautics Ltd.,HAL,300.00,Other,Defence,Large Cap,4661.70,-0.84,14109000.00,2.51,2.87,2.10,11980500.00,5520000.00,0.46,-0.08,AggressiveNewShort,"HAL,"
